old_slug,new_slug
supporting-economic-growth-through-managing-the-european-regional-development-fund,management-of-the-european-regional-development-fund
modernising-company-law--2,company-law-reform
bringing-communities-in-northern-ireland-together,northern-ireland-community-relations
providing-clean-water-and-sanitation-in-developing-countries,water-and-sanitation-in-developing-countries
making-the-nhs-more-efficient-and-less-bureaucratic,nhs-efficiency
improving-quality-of-life-for-people-with-long-term-conditions,long-term-health-conditions
improving-care-for-people-at-the-end-of-their-life,end-of-life-care
providing-versatile-agile-and-battle-winning-armed-forces-and-a-smaller-more-professional-ministry-of-defence,armed-forces-and-ministry-of-defence-reform
helping-developing-countries-deal-with-humanitarian-emergencies,humanitarian-emergencies
rebalancing-the-northern-ireland-economy,northern-ireland-economy
creating-an-exceptional-civil-service-less-bureaucratic-and-more-skilled-digital-and-unified,civil-service-reform
helping-employers-make-safer-recruiting-decisions,
giving-communities-more-power-in-planning-local-development,planning-reform
reducing-the-impact-of-climate-change-in-developing-countries,climate-change-impact-in-developing-countries
reducing-hunger-and-malnutrition-in-developing-countries,hunger-and-malnutrition-in-developing-countries
increasing-the-effectiveness-of-uk-aid,overseas-aid-effectiveness
making-sure-children-in-developing-countries-get-a-good-education,education-in-developing-countries
giving-more-power-back-to-cities-through-city-deals,city-deal
reducing-drugs-misuse-and-dependence,drug-misuse-and-dependency
treating-patients-and-service-users-with-respect-dignity-and-compassion,compassionate-care-in-the-nhs
reducing-the-deficit-and-rebalancing-the-economy,deficit-reduction
improving-social-mobility-to-create-a-fairer-society,social-mobility
protecting-conserving-and-providing-access-to-the-historic-environment-in-england,conservation-of-historic-buildings-and-monuments
making-the-planning-system-work-more-efficiently-and-effectively,planning-system
reviewing-the-state-pension-age,state-pension-age
keeping-northern-ireland-safe,northern-ireland-security
making-it-easier-to-trade,business-regulation
using-industrial-strategy-to-help-the-uk-economy-and-business-compete-and-grow,industrial-strategy
working-with-local-partners-to-plan-for-and-respond-to-emergencies,emergency-planning
making-sure-council-tax-payers-get-good-value-for-money,council-tax-reform
helping-people-to-buy-a-home,homebuying
making-local-councils-more-transparent-and-accountable-to-local-people,local-council-transparency-and-accountability
supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,fire-prevention-and-rescue
giving-all-children-a-healthy-start-in-life,children-s-health
improving-the-transparency-and-accountability-of-government-and-its-services,government-transparency-and-accountability
making-the-state-pension-simpler-and-fairer,state-pension-simplification
making-legal-aid-more-effective,legal-aid-reform
making-the-administrative-justice-and-tribunals-system-more-effective,administrative-justice-reform
making-the-labour-market-more-flexible-efficient-and-fair,labour-market-reform
helping-people-save-more-for-their-retirement-through-workplace-pensions,automatic-enrolment-in-workplace-pensions
improving-the-uks-ability-to-absorb-respond-to-and-recover-from-emergencies,emergency-planning
making-mental-health-services-more-effective-and-accessible--2,mental-health-service-reform
supporting-political-stability-and-the-institutions-in-northern-ireland,northern-ireland-political-stability
marking-relevant-national-events-and-ceremonies,national-events-and-ceremonies
helping-to-reduce-poverty-and-improve-social-justice,poverty-and-social-justice
supporting-economic-growth-through-local-enterprise-partnerships-and-enterprise-zones,local-enterprise-partnerships-leps-and-enterprise-zones
protecting-biodiversity-and-ecosystems-at-home-and-abroad,biodiversity-and-ecosystems
increasing-research-and-innovation-in-health-and-social-care,research-and-innovation-in-health-and-social-care
improving-the-rented-housing-sector--2,rented-housing-sector
providing-housing-support-for-older-and-vulnerable-people,housing-for-older-and-vulnerable-people
giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area--2,local-government-spending
preventing-sexual-violence-in-conflict,sexual-violence-in-conflict
improving-high-streets-and-town-centres,high-streets-and-town-centres
reducing-barriers-to-international-free-trade--3,free-trade
spending-taxpayers-money-responsibly,government-spending
protecting-and-enhancing-our-urban-and-natural-environment-to-improve-public-health-and-wellbeing,environmental-quality
keeping-the-uk-safe-in-cyberspace,cyber-security
reducing-the-costs-of-civil-litigation-to-provide-access-to-justice-at-proportionate-cost,civil-justice-reform
improving-the-child-maintenance-system,child-maintenance-reform
using-evidence-and-analysis-to-inform-energy-and-climate-change-policies,energy-and-climate-change-evidence-and-analysis
helping-developing-countries-economies-to-grow,economic-growth-in-developing-countries
helping-people-make-informed-choices-about-health-and-social-care,choice-in-health-and-social-care
making-sure-health-and-social-care-services-work-together,health-and-social-care-integration
improving-care-for-people-with-dementia,dementia
reducing-knife-gun-and-gang-crime,knife-gun-and-gang-crime
protecting-animal-health-and-preventing-disease-including-in-trade,animal-and-plant-health
making-uk-aid-more-open-and-transparent,overseas-aid-transparency
helping-government-departments-improve-their-efficiency-and-performance-to-save-the-taxpayer-money,central-government-efficiency
making-the-family-justice-system-more-effective,family-justice-system
managing-major-projects-more-effectively,major-project-management
making-corporate-taxes-more-competitive,business-tax-reform
creating-a-simpler-fairer-tax-system,personal-tax-reform
achieving-strong-and-sustainable-economic-growth,uk-economic-growth
supporting-british-nationals-overseas,british-nationals-overseas
buying-and-managing-government-goods-and-services-more-efficiently-and-effectively,government-buying
expanding-and-improving-the-rail-network,rail-network
ensuring-research-and-testing-using-animals-is-safe-and-reasonable,animal-research-and-testing
making-the-food-and-farming-industry-more-competitive-while-protecting-the-environment,food-and-farming-industry
improving-the-lives-of-girls-and-women-in-the-worlds-poorest-countries,women-and-girls-in-developing-countries
protecting-the-uk-against-terrorism,counter-terrorism
supporting-economic-development-projects-in-coastal-and-seaside-areas--4,economic-development-in-coastal-and-seaside-areas
improving-opportunities-for-older-people,older-people
helping-troubled-families-turn-their-lives-around,support-for-families
maintaining-world-leading-national-museums-and-galleries-and-supporting-the-museum-sector,museums-and-galleries
improving-the-health-of-poor-people-in-developing-countries,health-in-developing-countries
providing-effective-building-regulations-so-that-new-and-altered-buildings-are-safe-accessible-and-efficient,building-regulation
helping-carers-to-stay-healthy,carers-health
improving-the-quality-of-further-education-and-skills-training,further-education-and-training
maintaining-and-strengthening-the-welsh-devolution-settlement,welsh-devolution
helping-the-uk-tourism-industry-to-grow,tourism
supporting-the-falkland-islanders-right-to-self-determination,falkland-islanders-right-to-self-determination
promoting-stability-throughout-the-western-balkans--2,stability-in-the-western-balkans
meeting-nato-and-eu-treaty-defence-commitments,international-defence-commitments
helping-the-police-fight-crime-more-effectively,policing
helping-developing-countries-to-be-better-run-and-more-accountable,governance-in-developing-countries
preventing-and-reducing-piracy-off-the-coast-of-somalia,piracy-off-the-coast-of-somalia
strengthening-the-commonwealth--2,the-commonwealth
simplifying-farming-regulations,farming-industry-regulation
growing-the-social-investment-market,social-investment
reforming-qualifications-and-the-curriculum-to-better-prepare-pupils-for-life-after-school,school-and-college-qualifications-and-curriculum
widening-participation-in-higher-education--4,higher-education-participation
making-sure-uk-airports-and-airlines-are-safe-secure-and-competitive-while-reducing-their-impacts-on-the-environment-and-communities,aviation-and-airports
increasing-options-and-improving-provision-for-children-with-special-educational-needs-sen,special-educational-needs-and-disability-send
reducing-tax-evasion-and-avoidance,tax-evasion-and-avoidance
reducing-greenhouse-gases-and-other-emissions-from-transport,transport-emissions
making-it-easier-for-hmrc-customers-to-deal-with-their-taxes,
helping-the-economy-in-wales-to-grow,economic-growth-in-wales
making-the-administration-of-the-tax-system-more-efficient,
helping-households-to-cut-their-energy-bills,household-energy
improving-the-energy-efficiency-of-buildings-and-using-planning-to-protect-the-environment,energy-efficiency-in-buildings
increasing-the-uk-s-exports-and-attracting-inward-investment,exports-and-inward-investment
stimulating-economic-growth-in-rural-areas,economic-growth-in-rural-areas
establishing-stability-in-afghanistan,afghanistan
reducing-and-managing-waste,waste-and-recycling
improving-the-quality-of-teaching-and-leadership,teaching-and-school-leadership
protecting-and-improving-people-s-enjoyment-of-the-countryside,access-to-the-countryside
making-sure-the-national-lottery-operates-effectively-and-that-funding-for-good-causes-is-distributed-properly,national-lottery-funding
protecting-and-sustainably-using-the-marine-environment,marine-environment
improving-the-quality-and-range-of-education-and-childcare-from-birth-to-5-years,childcare-and-early-education
helping-people-to-find-and-stay-in-work,employment
working-for-peace-and-long-term-stability-in-the-middle-east-and-north-africa,peace-and-stability-in-the-middle-east-and-north-africa
promoting-social-action-encouraging-and-enabling-people-to-play-a-more-active-part-in-society,social-action
making-it-easier-for-the-communications-and-telecoms-industries-to-grow-while-protecting-the-interests-of-citizens,communications-and-telecomms
creating-a-lasting-legacy-from-the-2012-olympic-and-paralympic-games,2012-olympic-and-paralympic-legacy
maintaining-operational-readiness-to-provide-military-support-for-activities-in-the-uk,armed-forces-support-for-activities-in-the-uk
making-sentencing-more-effective,sentencing-reform
sustaining-and-enhancing-trees-forests-and-woodland,forests-and-woodland
helping-and-supporting-victims-of-crime,victims-of-crime
helping-more-people-survive-cancer,cancer-research-and-treatment
supporting-vibrant-and-sustainable-arts-and-culture,arts-and-culture
reducing-the-uk-s-greenhouse-gas-emissions-by-80-by-2050,greenhouse-gas-emissions
making-the-criminal-justice-system-more-efficient,criminal-justice-reform
leading-international-efforts-to-resolve-concerns-about-irans-nuclear-programme,iran-s-nuclear-programme
providing-effective-regulation-of-freight-transport,freight
creating-stronger-and-safer-banks,bank-regulation
preventing-more-young-offenders-from-re-offending,young-offenders
developing-a-new-high-speed-rail-network,hs2-high-speed-rail
making-transport-more-accessible-to-all,accessible-transport
making-the-single-market-more-effective,european-single-market
creating-a-transparent-justice-system,justice-system-transparency
reducing-obesity-and-improving-diet,obesity-and-healthy-eating
giving-people-more-power-over-what-happens-in-their-neighbourhood,localism
getting-more-people-playing-sport,sports-participation
making-it-easier-for-people-to-access-and-use-financial-services,access-to-financial-services
making-sustainable-development-a-part-of-all-government-policy-and-operations,sustainable-development
improving-local-transport,local-transport
reducing-demand-for-energy-from-industry-businesses-and-the-public-sector--2,energy-demand-reduction-in-industry-business-and-the-public-sector
regulating-gambling-in-great-britain-to-make-sure-it-is-run-responsibly-and-contributes-to-economic-growth,gambling-regulation
improving-behaviour-and-attendance-in-schools,school-behaviour-and-attendance
reducing-the-threats-of-flooding-and-coastal-change,flooding-and-coastal-change
securing-borders-and-reducing-immigration,immigration-and-borders
making-the-construction-and-maintenance-of-school-buildings-more-cost-effective,school-building-and-maintenance
reducing-the-impact-of-regulation-on-business,business-regulation
improving-the-adoption-system-and-services-for-looked-after-children,looked-after-children-and-adoption
managing-improving-and-investing-in-the-road-network,road-network-and-traffic
adapting-to-climate-change,climate-change-adaptation
improving-the-health-and-safety-system,health-and-safety-reform
reducing-bovine-tuberculosis,bovine-tuberculosis-bovine-tb
working-towards-nuclear-disarmament,nuclear-disarmament
making-schools-and-colleges-more-accountable-and-funding-them-fairly,school-and-college-funding-and-accountability
controlling-defence-security-and-dual-use-strategic-exports--2,export-controls
making-it-easier-to-set-up-and-run-a-charity-social-enterprise-or-voluntary-organisation,social-enterprise
supporting-social-workers-to-provide-help-and-protection-to-children,children-s-social-workers
maintaining-and-improving-britains-elite-sports-performance,elite-sports-performance
supporting-the-library-services-provided-by-local-authorities,library-services
increasing-opportunities-for-young-people-and-helping-them-to-achieve-their-potential,young-people
encouraging-businesses-to-manage-their-impact-on-the-environment,business-and-the-environment
maintaining-secure-water-supplies-high-standards-of-drinking-water-and-effective-sewerage-services,water-and-sewerage-services
managing-the-risk-to-transport-networks-from-terrorism-and-other-crimes,transport-security
reducing-and-preventing-crime--2,crime-prevention
maintaining-an-effective-independent-nuclear-deterrent,uk-nuclear-deterrent
maintaining-and-strengthening-the-scottish-devolution-settlement,scottish-devolution
ending-violence-against-women-and-girls-in-the-uk,violence-against-women-and-girls
ensuring-the-future-of-the-universal-postal-service-and-post-office-network-services,postal-service-reform
reducing-smoking,smoking
providing-regulation-and-licensing-of-energy-industries-and-infrastructure,energy-industry-and-infrastructure-licensing-and-regulation
improving-education-for-pupils-outside-mainstream-school,children-outside-mainstream-education
reforming-the-water-industry-to-increase-competition-and-protect-the-environment,water-industry
making-the-higher-education-system-more-efficient-and-diverse,access-to-higher-education
reforming-the-common-agricultural-policy-to-ensure-a-fair-deal-for-farmers-consumers-and-taxpayers,common-agricultural-policy-reform
taking-international-action-to-mitigate-climate-change,climate-change-international-action
raising-the-achievement-of-disadvantaged-children,education-of-disadvantaged-children
simplifying-the-welfare-system-and-making-sure-work-pays,welfare-reform
protecting-patients-from-avoidable-harm--2,patient-safety
engaging-the-public-in-science-and-engineering--3,public-understanding-of-science-and-engineering
managing-freshwater-fisheries,freshwater-fisheries
protecting-animal-welfare,animal-welfare
making-it-easier-to-set-up-and-grow-a-business--6,business-enterprise
improving-regulation-of-the-financial-sector-to-protect-customers-and-the-economy,financial-services-regulation
increasing-the-number-of-academies-and-free-schools-to-create-a-better-and-more-diverse-school-system,academies-and-free-schools
managing-the-use-and-disposal-of-radioactive-and-nuclear-substances-and-waste,radioactive-and-nuclear-substances-and-waste
investing-in-research-development-and-innovation,research-and-development
increasing-the-use-of-low-carbon-technologies,low-carbon-technologies
protecting-and-developing-the-overseas-territories,uk-overseas-territories
bringing-people-together-in-strong-united-communities,community-integration
informing-the-debate-on-scotlands-constitutional-future,scottish-constitution
preventing-conflict-in-fragile-states--2,conflict-in-fragile-states
planning-for-health-emergencies,health-emergency-planning
making-consumer-credit-markets-fairer--6,consumer-credit-market
improving-water-quality,water-quality
making-sure-government-policies-and-programmes-benefit-rural-businesses-and-communities,rural-economy-and-community
reducing-harmful-drinking,harmful-drinking
making-it-easier-for-the-media-and-creative-industries-to-grow-while-protecting-the-interests-of-citizens,media-and-creative-industries
making-european-funding-work-better-for-the-uk-economy,european-funds
making-roads-safer,road-safety
controlling-the-sale-and-supply-of-alcohol,alcohol-sales
reforming-and-managing-marine-fisheries-for-a-prosperous-fishing-industry-and-a-healthy-marine-environment,marine-fisheries
creating-a-fairer-and-more-equal-society,social-equality
reforming-the-constitution-and-political-system,constitutional-reform
fulfilling-the-commitments-of-the-armed-forces-covenant,armed-forces-covenant
boosting-private-sector-employment-in-england,regional-growth-fund
countering-weapons-proliferation,weapons-proliferation
making-inspections-of-schools-colleges-and-childrens-services-more-effective,inspections-of-schools-colleges-and-children-s-services
increasing-the-number-of-available-homes,house-building
transforming-uk-broadband,broadband-investment
maintaining-uk-energy-security--2,uk-energy-security
reducing-reoffending-and-improving-rehabilitation,reoffending-and-rehabilitation
promoting-human-rights-internationally,human-rights-internationally
preventing-and-reducing-anti-competitive-activities,competition-law
sustaining-a-thriving-maritime-sector,maritime-sector
transforming-government-services-to-make-them-more-efficient-and-effective-for-users,central-government-efficiency
making-companies-more-accountable-to-shareholders-and-the-public,corporate-accountability
strengthening-uk-relationships-in-asia-latin-america-and-africa-to-support-uk-prosperity-and-security,uk-prosperity-and-security-asia-latin-america-and-africa
providing-better-information-and-protection-for-consumers,consumer-protection
